关键词,用户名,用户id,内容,发博时间,转发数,评论数,点赞数,url
美国实体清单,爬闹怼,5955134526,2016年美国商务部制裁中国中兴公司，禁止美国公司供应芯片和软件给中兴，中兴当年缴纳了10亿美元罚款，不过2018年美国宣布重启制裁，再次把中兴列入实体清单，禁止使用美国的芯片、软件，在国内的斡旋下中兴公司与美国商务部达成了和解，代价就是10亿美元的罚款、4亿美元的托管金、管理层、董事会全面换血，同时接受美国方面长达10年的监管。2018年美国还制裁了福建的晋华集团，同样是禁止使用美国公司的技术、...O网页链接,2019/5/20 13:38,0,0,2,https://weibo.com/5955134526/Hv3yA1erk?refer_flag=1001030103_
美国实体清单,通天下,1767957772,【华为启动“备胎计划”回击美霸凌主义】5月16日，美国商务部工业与安全局将华为等70家中国企业列入出口管制实体清单。但令特朗普没想到的是，华为集团开启了强大的“备胎计划”。据悉，华为在多年前就已做出过极限生存的假设，早就打造好了“备胎”，华为的备胎计划是对美国霸凌主义的有力回击，同时也引发国人科技自立，居安思危的反思。L通天下的微博视频,2019/5/20 14:56,0,0,5,https://weibo.com/1767957772/Hv43Y7phU?refer_flag=1001030103_
美国实体清单,南京广播网,2873938194,【华为概念股集体涨停，美国供应商股价大跌】当地时间5月15日，美国商务部表示，将把中国公司华为及其70家附属公司列入管制“实体清单”。这意味着，没有美国政府的许可下，美国企业不得给华为供货。今天，受到华为事件的影响，华为概念股集体涨停开盘，兴森科技、实达集团、华天科技、诚迈科技、星星科技、力源信息全线涨停。美国企业“断供”将使华为受到影响，但美国供应商也会损失大额的华为订单，美国媒体称，如果失去华为这个大客户，美国的科技企业将损失110亿美元。#华为##华为遭美国政府管制#,2019/5/20 14:32,0,0,0,https://weibo.com/2873938194/Hv3Uvg57L?refer_flag=1001030103_
美国实体清单,爬山的小虫,2081601483,【华为事件分析：一家企业如何去硬抗一个国家？】作者：缓缓君本文转载自：缓缓说（ID:huanhuanshuo520）这两天一直在密切关注华为被美国“封杀”（列入“实体清单”）这件事。这件事背后涉及到两个层面，一个是政治和大国博弈的层面，另一个是技术和供应链的层面。前者我在O网页链接?,2019/5/20 14:30,0,0,0,https://weibo.com/2081601483/Hv3TLsgRa?refer_flag=1001030103_
美国实体清单,九点半,1626045813,《联想发声明：未向华为断供将追究造谣者责任》刚刚过去的周末里，因受美国把华为列入实体清单影响，联想断供华为办公电脑、服务器的消息开始发酵，有媒体报道，华为内部人士表示，之前公司基本全都用的联想电脑，但现在内部设备采购页面，联想设备已全部下线；另外，深圳华为已及时更换其他品牌办公电脑。不过昨天天凌晨1点，联想集团发表声明表示：目前联想集团向华为公司供货正常，对于目前网上的“断供”等不实之词，我们已经对谣言传播者连夜取证，将诉诸法律手段，追究造谣者责任。同样的剧情，同样的两位主角，很难不让人把此次事件，与去年那场“5G投票”联想起来。2018年5月开始，一则关于联想的消息开始在互联网上大范围传播，在有关5G标准的表决会议上，联想集团做出了弃权的投票，带着收购的摩托罗拉一起站队了高通，而没有支持中国企业华为，最终导致华为以微弱劣势输掉了5G标准的竞争。后来同样被证实，该消息为谣言。而在今天联想声明的最后，很多人注意到了“多事之秋，共度难关！”这八个字！一个“共”字是道出了真谛，一荣俱荣，一损则俱损。O联想发声明：未向华为断供将追究造谣者责任,2019/5/20 14:11,0,0,6,https://weibo.com/1626045813/Hv3LUd22a?refer_flag=1001030103_
美国实体清单,全球IT行业网,1668692323,【华为核心供应商美国有33家：包括英特尔、高通、博通等在内】2018年底，华为公布的92家核心供应商名单，其中美国有33家，占比最高，包括耳熟能详的英特尔、高通、博通、美光、思佳讯、科尔沃、西林克斯和新飞通等公司，都是华为在美国的重要供应商。公开数据显示，在2018年华为用于组件采购的数?,2019/5/20 15:35,195,162,535,https://weibo.com/1668692323/Hv4jPuJmi?refer_flag=1001030103_
美国实体清单,北大新媒体,1711479641,【外媒：美方称将很快缩小对华为限制规模】据路透社报道，美国商务部17日表示，可能很快会缩减对华为公司的限制令。此前，美国政府将华为列入“实体清单”，令这家中国公司几乎无法为现有美国客户提供服务。美国商务部发言人说，正在考虑颁发临时通用许可，以“避免妨碍现有网络运营和设备使用”。这?,2019/5/20 15:30,1,0,5,https://weibo.com/1711479641/Hv4hLgNlH?refer_flag=1001030103_
美国实体清单,艾瑞网,1796217437,【华为下代手机仍能用安卓，但无法装谷歌应用】5月20日消息，据路透社报道，知情人士透露，谷歌于美国当地时间周日宣布暂停与华为的部分业务往来。谷歌将不再与华为开展需要转让硬件、软件产品和技术服务的业务，但在开源授权协议范围内的业务除外。此前，美国政府将华为列入“实体清单”，令这其几乎?,2019/5/20 15:30,1,0,3,https://weibo.com/1796217437/Hv4hLf9lt?refer_flag=1001030103_
美国实体清单,基地-沙丘,5563087612,【华为概念股集体涨停，美国供应商股价大跌】5月20日，受到华为事件的影响，华为概念股集体涨停开盘，兴森科技、实达集团、华天科技、诚迈科技、星星科技、力源信息全线涨停。被美国列入“实体清单”当日，华为的美国供应商应声而跌，甚至有营收高度依赖华为的公司股价跌逾两成，元气大损。2018?,2019/5/20 15:15,0,0,7,https://weibo.com/5563087612/Hv4bTdkFt?refer_flag=1001030103_
美国实体清单,吃鸡小股手,1684560407,5月18日，华为创始人任正非在深圳接受了《日本经济新闻》的采访，对美国的禁令首次回应道：“我们并没有触犯任何法律。”并且，华为在进一步加强半导体等核心产品的自主研发。5月16日美国商务部工业与安全局(BIS)将华为列入所谓“实体清单”，外界最关注的就是华为核心供应链是否会受到冲击，因为列?,2019/5/20 15:00,0,0,8,https://weibo.com/1684560407/Hv45LtW7x?refer_flag=1001030103_
美国实体清单,新闻360,1764647261,【华为启动“备胎计划”回击美霸凌主义】5月16日，美国商务部工业与安全局将华为等70家中国企业列入出口管制实体清单。但令特朗普没想到的是，华为集团开启了强大的“备胎计划”。据悉，华为在多年前就已做出过极限生存的假设，早就打造好了“备胎”，华为的备胎计划是对美国霸凌主义的有力回击，同时也引发国人科技自立，居安思危的反思。@通天下L通天下的微博视频,2019/5/20 16:45,5,0,23,https://weibo.com/1764647261/Hv4Mbm9Yp?refer_flag=1001030103_
美国实体清单,微指数,2153702501,【华为下代手机仍能用安卓，但无法装谷歌应用】5月20日消息，据路透社报道，知情人士透露，谷歌于美国当地时间周日宣布暂停与华为的部分业务往来。谷歌将不再与华为开展需要转让硬件、软件产品和技术服务的业务，但在开源授权协议范围内的业务除外。此前，美国政府将华为列入“实体清单”，令这其几乎无法为现有美国客户提供服务。O华为下代手机仍能用安卓，但无法装谷歌应用,2019/5/20 16:20,0,0,2,https://weibo.com/2153702501/Hv4C3sBhu?refer_flag=1001030103_
美国实体清单,傲笑红尘君子意,1406177174,我围观了@陶短房的回答，该问题价值29.99元，围观仅1元，快来一起围观~O微博问答?,2019/5/20 16:00,0,0,3,https://weibo.com/1406177174/Hv4tY3Vfb?refer_flag=1001030103_
美国实体清单,百运网,5109897758,发布了头条文章：《美国动手了：华为及其70个关联企业被列入实体清单！》O美国动手了：华为及其70个关联企业被列入实体清单！?,2019/5/20 17:55,0,0,1,https://weibo.com/5109897758/Hv5eX1Hyc?refer_flag=1001030103_
美国实体清单,StevenHong6528,1154832101,【英媒：美称或将很快缩减对华为限制规模】路透社5月17日报道称，美国商务部17日表示，可能很快会缩减对华为公司的限制令。此前，美国政府将华为列入“实体清单”，令这家中国公司几乎无法为现有美国客户提供服务。美国商务部发言人说，正在考虑颁发临时通用许可，以“避免妨碍现有网络运营和设备使用”。这一临时通用许可的潜在受益者，包括在人口稀少地区提供服务、近年来从华为公司购买了网络设备的怀俄明州和俄勒冈州东部的互联网以及移动服务提供商。报道称，实际上，商务部将允许华为公司购买美国商品，以帮助其现有客户维持网络和设备的可靠性。但这家中国公司仍将不能购买美国的零部件和元件来制造新产品。报道表示，美国商务部考虑缩减对华为的限制，表明全面切断华为的供应链可能会带来立即、深远且意料之外的后果......@参考消息O英媒：美称或将很快缩减对华为限制规模,2019/5/20 17:48,0,0,1,https://weibo.com/1154832101/Hv5c82R0r?refer_flag=1001030103_
美国实体清单,庄里微,1629898120,【转载|任正非首度回应美国禁令】华为技术有限公司总裁任正非18日首次回应了特朗普政府将华为列入“实体清单”的决定，他表示，即使高通和其他美国供应商不向华为出售芯片，华为也“没问题”，因为“我们已经为此做好了准备”。O任正非首度回应美国禁令?,2019/5/20 17:21,0,0,4,https://weibo.com/1629898120/Hv519tDvq?refer_flag=1001030103_
美国实体清单,尔耳法,1216204475,#华为备胎转正#【华为轮值董事长胡厚崑：能够保障在极端情况下，公司经营不受大的影响】5月16日，美国商务部工业与安全局（BIS）将华为列入所谓“实体清单”，这意味着，没有美国政府的许可下，美国企业不得给华为供货。华为轮值董事长胡厚崑在内部发布的《致员工的一封信》中表示，这是美国政府...,2019/5/20 18:23,0,0,0,https://weibo.com/1216204475/Hv5pZ3ZY0?refer_flag=1001030103_
